2 - List of Successful Candidates,,,,,
 STATE/UT , CONSTITUENCY , WINNER , SEX , PARTY , SYMBOL 
Andhra Pradesh,Ichchapuram,ASHOK BENDALAM,MALE,TDP,Bicycle
Andhra Pradesh,Palasa,APPALARAJU SEEDIRI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tekkali,ATCHANNAIDU KINJARAPU,MALE,TDP,Bicycle
Andhra Pradesh,Pathapatnam,REDDY SHANTHI,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Srikakulam,DHARMANA PRASADA RAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Amadalavalasa,THAMMINENI SEETHARAM,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Etcherla,Gorle. Kiran Kumar,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Narasannapeta,DHARMANA KRISHNA DAS,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Rajam (SC),KAMBALA JOGULU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Palakonda  (ST),VISWASARAYI KALAVATHI,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kurupam ,PUSHPASREEVANI . PAMULA,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Parvathipuram ,ALAJANGI JOGARAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Salur ,PEEDIKA. RAJANNA DORA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Bobbili ,SAMBANGI VENKATACHINA APPALA NAIDU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Cheepurupalli,BOTCHA SATYANARAYANA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gajapathinagaram,APPALANARASAYYA BOTCHA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nellimarla,APPALA NAIDU BADDUKONDA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vizianagaram,VEERA BHADRA SWAMY KOLAGATLA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Srungavarapukota,Kadubandi Srinivasa Rao,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Bhimli,MUTTAMSETTI SRINIVASARAO (AVANTHI SRINIVAS),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Visakhapatnam East,RAMAKRISHNA BABU VELAGAPUDI,MALE,TDP,Bicycle
Andhra Pradesh,Visakhapatnam South,GANESH KUMAR VASUPALLI,MALE,TDP,Bicycle
Andhra Pradesh,Visakhapatnam  North,GANTA SRINIVASA RAO,MALE,TDP,Bicycle
Andhra Pradesh,Visakhapatnam  West,P G V R NAIDU(GANA BABU),MALE,TDP,Bicycle
Andhra Pradesh,Gajuwaka,NAGIREDDY TIPPALA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Chodavaram,KARANAM DHARMASRI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,V.Madugula,BUDI MUTYALA NAIDU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Araku valley ,CHETTI. PALGUNA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Paderu ,BHAGYA LAKSHMI KOTTAGULLI,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Anakapalli,Amarnath Gudivada,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pendurthi,ANNAMREDDY ADEEP RAJ,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,ELAMANCHILI,UPPALAPATI VENKATA RAMANAMURTHY RAJU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,PAYAKARAOPETA ,GOLLA BABURAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Narsipatnam,UMA SANKARA GANESH PETLA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tuni,DADISETTI RAJA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Prathipadu,Sri Purnachandra Prasad Parvatha,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pithapuram,Dorababu Pendem,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kakinada Rural,Kurasala Kannababu,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Peddapuram,Nimmakayala China Rajappa,MALE,TDP,Bicycle
Andhra Pradesh,Anaparthy,DOCTOR. SATHI SURYANARAYANA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kakinada City,Dwarampudi Chandra Sekhara Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Ramachandrapuram,CHELLUBOYINA SRINIVASA VENUGOPALAKRISHNA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Mummidivaram,PONNADA VENKATA SATISH KUMAR,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Amalapuram ,VISWARUPU PINIPE,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Razole ,RAPAKA VARA PRASADA RAO,MALE,JnP,Glass Tumbler
Andhra Pradesh,Gannavaram ,KONDETI CHITTI BABU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kothapeta,CHIRLA JAGGIREDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Mandapeta,JOGESWARA RAO. V,MALE,TDP,Bicycle
Andhra Pradesh,Rajanagaram,JAKKAMPUDI RAJA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Rajahmundry City,ADIREDDY BHAVANI,FEMALE,TDP,Bicycle
Andhra Pradesh,Rajamundry Rural,Gorantla Butchaiah Choudary,MALE,TDP,Bicycle
Andhra Pradesh,Jaggampeta ,Jyothula Chanti babu,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Rampachodavaram ,NAGULAPALLI DHANALAKSHMI.,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kovvur ,TANETI VANITA,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nidadavole,G. Srinivas Naidu,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Achanta,CHERUKUVADA SRIRANGANADHA RAJU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Palacole,DR. NIMMALA RAMANAIDU,MALE,TDP,Bicycle
Andhra Pradesh,Narasapuram,MUDUNURI PRASADA RAJU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Bhimavaram,GRANDHI SRINIVAS,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Undi,MANTENA RAMARAJU (KALAPUDI RAMBABU),MALE,TDP,Bicycle
Andhra Pradesh,TANUKU,KARUMURI VENKATA NAGESWARA RAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tadepalligudem,KOTTU SATYANARAYANA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Unguturu,Puppala Srinivasarao (Vasubabu),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Denduluru ,ABBAYA CHOWDARY KOTHARI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Eluru,ALLA KALI KRISHNA SRINIVAS (ALLA NANI),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gopalapuram ,Venkatrao Talari,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Polavaram ,TELLAM BALA RAJU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Chintalapudi ,VUNNAMATLA RAKADA ELIZA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tiruvuru ,Kokkiligadda Rakshana Nidhi,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nuzvid ,Meka Venkata Pratap Apparao,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gannavaram,Vamsi Vallabhaneni,MALE,TDP,Bicycle
Andhra Pradesh,Gudivada ,KODALI SRI VENKATESWARA RAO (NANI),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kaikalur,DULAM NAGESWARA RAO (DNR),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pedana,JOGI RAMESH,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Machilipatnam,PERNI VENKATARAMAIAH (NANI),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Avanigadda,RAMESH BABU SIMHADRI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pamarru ,Anil Kumar Kaile,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Penamaluru,KOLUSU PARTHA SARATHY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vijaywada West,Velam Palli Srinivasa Rao,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vijayawada central,MALLADI VISHNU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vijayawada East,Gadde Rama Mohan,MALE,TDP,Bicycle
Andhra Pradesh,Mylavaram,VASANTHA VENKATA KRISHNA PRASAD,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nandigama ,MONDITOKA JAGAN MOHANA RAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Jaggayyapeta,UDAYABHANU SAMINENI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pedakurapadu,NAMBURU SANKARA RAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tadikonda (SC),Vundavalli Sridevi,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Mangalagiri,Alla Rama Krishna Reddy (RK),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Ponnur,Kilari Venkata Roshaiah,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vemuru (SC),MERUGU NAGARJUNA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Repalle,ANAGANI SATYA PRASAD,MALE,TDP,Bicycle
Andhra Pradesh,Tenali  ,ANNABATHUNI SIVA KUMAR,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Bapatla,KONA RAGHUPATHI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Prathipadu (SC),Mekathoti Sucharitha,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Guntur West,MADDALI GIRIDHARA RAO,MALE,TDP,Bicycle
Andhra Pradesh,Guntur East,MOHAMMED MUSTAFA SHAIK,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Chilakaluripet,RAJINI VIDADALA,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Narasaraopet,GOPIREDDY SRINIVASAREDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Sattenapalli,AMBATI RAMBABU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vinukonda,Bolla Brahma Naidu,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gurazala,KASU MAHESH REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Macherla,RAMAKRISHNAREDDY PINNELLI.,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Yerragondapalem ,Audimulapu Suresh,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Darsi,Maddisetty Venugopal,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Parchur ,YELURI SAMBA SIVARAO,MALE,TDP,Bicycle
Andhra Pradesh,Addanki ,GOTTIPATI RAVIKUMAR,MALE,TDP,Bicycle
Andhra Pradesh,Chirala,KARANAM BALARAMA KRISHNA MURTHY,MALE,TDP,Bicycle
Andhra Pradesh,Santhanuthalapadu ,T.J.R. Sudhakar Babu,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Ongole,BALINENI SRINIVASA REDDY (VASU),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kandukur,MAHEEDHAR REDDY MANUGUNTA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kondapi ,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,MALE,TDP,Bicycle
Andhra Pradesh,Markapuram,Kunduru Nagarjuna Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Giddalur,Anna Rambabu,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kanigiri,Burra Madhu Sudhan Yadav,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kavali,RAMIREDDY PRATAP KUMAR REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Atmakur,MEKAPATI GOUTHAM REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kovur,NALLAPAREDDY PRASANNA KUMAR REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nellore City,ANIL KUMAR POLUBOINA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nellore Rural,Kotamreddy Sridhar Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Sarvepalli,KAKANI GOVARDHAN REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gudur ,Velagapalli Varaprasad Rao,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Sullurpeta ,Kiliveti Sanjeevaiah,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Venkatagiri,ANAM RAMANARAYANA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Udayagiri,MEKAPATI CHANDRA SEKHAR REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Badvel ,Dr. G. Venkata Subbaiah,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Rajampet,Meda Venkata Mallikarjuna Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kadapa,AMZATH BASHA SHAIK BEPARI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kodur ,Koramutla Sreenivasulu,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Rayachoti,GADIKOTA. SRIKANTH REDDY.,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pulivendla,Y S JAGAN MOHAN REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kamalapuram ,POCHIMAREDDY RAVINDRANATH REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Jammalamadugu,Mule Sudheer Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Proddatur,Rachamallu Siva Prasad Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Mydukur,Raghurami Reddy Settipally,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Allagadda,Gangula Brijendra Reddy (Nani),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Srisailam,SILPA CHAKRAPANI REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nandikotkur ,THOGURU ARTHUR,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kurnool,Abdul Hafeez Khan,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Panyam,KATASANI RAMBHUPAL REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nandyal,SHILPA RAVI CHANDRA KISHORE REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Banaganapalle,KATASANI RAMI REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Dhone,Buggana Raja Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pattikonda,KANGATI SREEDEVI,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kodumur ,JARADODDI SUDHAKAR,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Yemmiganur,K CHENNAKESAVA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Mantralayam,Y. BALANAGI REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Adoni,Y. SAI PRASAD REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Alur,Gummanur Jayaram,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Rayadurg,KAPU RAMACHANDRA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Uravakonda,PAYYAVULA KESHAV,MALE,TDP,Bicycle
Andhra Pradesh,Guntakal,Y. VENKATARAMA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tadipatri,K. PEDDA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Singanamala ,Padmavathy Jonnalagadda,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Anantapur urban,ANANTHA VENKATARAMI REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,KALYANDURG,K.V. Usha Sricharan,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Raptadu,Thopudurthi Prakash Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Madakasira ,M THIPPESWAMY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Hindupur,Nandamuri Balakrishna,MALE,TDP,Bicycle
Andhra Pradesh,Penukonda,MALAGUNDLA SANKARANARAYANA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Puttaparthi,DUDDUKUNTA SREEDHAR REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Dharmavaram,KETHIREDDY VENKATARAMI REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kadiri,P.V. SIDDA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Thamballapalle,PEDDIREDDY DWARAKANATHA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Pileru,CHINTHALA RAMACHANDRA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Madanapalle,M. Nawaz Basha,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Punganur,PEDDIREDDI RAMACHANDRA REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Chandragiri,Dr.CHEVIREDDY BHASKAR REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tirupati,BHUMANA KARUNAKAR REDDY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Srikalahasti,Biyyapu Madhusudhan Reddy,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Satyavedu ,Adimulam Koneti,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nagari,R.K. ROJA,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gangadhara Nellore,K. NARAYANA SWAMY,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Chittoor,Aranii Srenevasulu (Jangalapalli),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Puthalapattu ,M. BABU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Palamaner,N VENKATE GOWDA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kuppam,Nara Chandra Babu Naidu,MALE,TDP,Bicycle
,,,,,
,,,,,
,,,,,
,, PARTY WISE SUMMARY ,,,
,,Andhra Pradesh,,,
,, PARTY NAME , SEATS ,,
,,Janasena Party,1,,
,,Telugu Desam,23,,
,,Yuvajana Sramika Rythu Congress Party,151,,
